$ sudo journalctl -u device-manager --since "3 minutes ago" | tail -50
Jan 25 19:33:58 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:33:58.895Z","level":"info","message":"Truck parked - accumulating time","service":"device-manager","deviceId":12,"voltage2":0.04208339378237724,"todayParkedMinutes":1174,"monthParkedMinutes":35172,"completedDaysMinutes":33998,"parkedSince":"2025-12-30T22:17:33.057Z"}
Jan 25 19:34:00 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:34:00.124Z","level":"info","message":"Skipping devices with inactive trucks","service":"device-manager","devices":[{"name":"DCL-Elite-Hospitality","truck":"TRK-01"},{"name":"DCL-Thibert","truck":"RTR-01"}]}
Jan 25 19:34:00 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:34:00.902Z","level":"info","message":"Truck parked - accumulating time","service":"device-manager","deviceId":4,"voltage2":0.00006631055293837562,"todayParkedMinutes":1174,"monthParkedMinutes":15413,"completedDaysMinutes":14239,"parkedSince":"2026-01-24T18:50:26.490Z"}
Jan 25 19:34:00 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:34:00.907Z","level":"info","message":"Truck parked - accumulating time","service":"device-manager","deviceId":10,"voltage2":0.039347678422927856,"todayParkedMinutes":1174,"monthParkedMinutes":32809,"completedDaysMinutes":31635,"parkedSince":"2025-12-29T23:38:19.012Z"}
Jan 25 19:34:02 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:34:02.916Z","level":"info","message":"Truck parked - accumulating time","service":"device-manager","deviceId":11,"voltage2":0.047978587448596954,"todayParkedMinutes":1174,"monthParkedMinutes":29522,"completedDaysMinutes":28348,"parkedSince":"2025-12-29T23:38:54.005Z"}
Jan 25 19:34:02 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:34:02.921Z","level":"info","message":"Truck parked - accumulating time","service":"device-manager","deviceId":7,"voltage2":0.03780338168144226,"todayParkedMinutes":1174,"monthParkedMinutes":30027,"completedDaysMinutes":28853,"parkedSince":"2025-12-29T23:22:12.507Z"}
Jan 25 19:34:06 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:34:06.931Z","level":"info","message":"Truck parked - accumulating time","service":"device-manager","deviceId":5,"voltage2":0.036845505237579346,"todayParkedMinutes":1174,"monthParkedMinutes":29015,"completedDaysMinutes":27841,"parkedSince":"2025-12-03T17:15:48.621Z"}
Jan 25 19:34:06 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:34:06.941Z","level":"info","message":"Truck parked - accumulating time","service":"device-manager","deviceId":3,"voltage2":0.04053983464837074,"todayParkedMinutes":1174,"monthParkedMinutes":28105,"completedDaysMinutes":26931,"parkedSince":"2025-12-23T05:46:33.423Z"}
Jan 25 19:34:08 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:34:08.949Z","level":"info","message":"Truck parked - accumulating time","service":"device-manager","deviceId":8,"voltage2":0.04146198183298111,"todayParkedMinutes":1174,"monthParkedMinutes":29614,"completedDaysMinutes":28440,"parkedSince":"2025-12-29T23:27:57.493Z"}
Jan 25 19:34:08 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:34:08.954Z","level":"info","message":"Truck parked - accumulating time","service":"device-manager","deviceId":9,"voltage2":0.03704074025154114,"todayParkedMinutes":1174,"monthParkedMinutes":29103,"completedDaysMinutes":27929,"parkedSince":"2025-12-29T23:36:00.503Z"}
Jan 25 19:34:12 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:34:12.962Z","level":"info","message":"Truck parked - accumulating time","service":"device-manager","deviceId":12,"voltage2":0.04235126078128815,"todayParkedMinutes":1174,"monthParkedMinutes":35172,"completedDaysMinutes":33998,"parkedSince":"2025-12-30T22:17:33.057Z"}
Jan 25 19:34:12 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:34:12.967Z","level":"info","message":"Truck parked - accumulating time","service":"device-manager","deviceId":4,"voltage2":0.0003270051092840731,"todayParkedMinutes":1174,"monthParkedMinutes":15413,"completedDaysMinutes":14239,"parkedSince":"2026-01-24T18:50:26.490Z"}
Jan 25 19:34:13 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:34:13.461Z","level":"info","message":"Skipping devices with inactive trucks","service":"device-manager","devices":[{"name":"DCL-Elite-Hospitality","truck":"TRK-01"},{"name":"DCL-Thibert","truck":"RTR-01"}]}
Jan 25 19:34:14 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:34:14.974Z","level":"info","message":"Truck parked - accumulating time","service":"device-manager","deviceId":11,"voltage2":0.04769907146692276,"todayParkedMinutes":1174,"monthParkedMinutes":29522,"completedDaysMinutes":28348,"parkedSince":"2025-12-29T23:38:54.005Z"}
Jan 25 19:34:14 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:34:14.979Z","level":"info","message":"Truck parked - accumulating time","service":"device-manager","deviceId":10,"voltage2":0.039101336151361465,"todayParkedMinutes":1174,"monthParkedMinutes":32809,"completedDaysMinutes":31635,"parkedSince":"2025-12-29T23:38:19.012Z"}
Jan 25 19:34:16 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:34:16.986Z","level":"info","message":"Truck parked - accumulating time","service":"device-manager","deviceId":7,"voltage2":0.03704366460442543,"todayParkedMinutes":1174,"monthParkedMinutes":30027,"completedDaysMinutes":28853,"parkedSince":"2025-12-29T23:22:12.507Z"}
Jan 25 19:34:18 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:34:18.993Z","level":"info","message":"Truck parked - accumulating time","service":"device-manager","deviceId":5,"voltage2":0.03645124286413193,"todayParkedMinutes":1174,"monthParkedMinutes":29015,"completedDaysMinutes":27841,"parkedSince":"2025-12-03T17:15:48.621Z"}
