deecell_fleet=> SELECT recorded_at, frequency FROM shelly_readings WHERE shelly_device_id = 2 ORDER BY recorded_at DESC LIMIT 50;
       recorded_at       | frequency  
-------------------------+------------
 2026-01-15 20:33:03.953 |  22.823898
 2026-01-15 20:32:59.484 |  335.49686
 2026-01-15 20:32:55.016 |  41.659466
 2026-01-15 20:32:43.446 |  24.811481
 2026-01-15 20:32:39.335 |  38.195274
 2026-01-15 20:32:35.146 |  21.392454
 2026-01-15 20:32:30.004 |  79.710144
 2026-01-15 20:32:26.278 |  35.304768
 2026-01-15 20:32:22.964 |   9.504538
 2026-01-15 20:32:06.656 |  31.871426
 2026-01-15 20:32:02.985 |  200.83139
 2026-01-15 20:31:59.136 |  21.797905
 2026-01-15 20:31:53.218 |          0
 2026-01-15 20:26:44.734 |  29.294653
 2026-01-15 20:26:41.218 |          0
 2026-01-15 20:17:43.294 |  15.777439
 2026-01-15 20:17:30.174 |  14.230433
 2026-01-15 20:17:22.163 |  6.4172883
 2026-01-15 20:17:03.931 |  47.227383
 2026-01-15 20:17:00.162 |  7.3186193
 2026-01-15 20:16:42.809 |          0
 2026-01-15 20:10:53.637 |          0
 2026-01-15 00:43:35.223 |  3.2562125
 2026-01-15 00:43:00.213 |  25.485437
 2026-01-15 00:42:56.093 |   40.31502
 2026-01-15 00:42:50.76  |  41.614906
 2026-01-15 00:42:45.93  |  30.687294
 2026-01-15 00:42:41.987 |  127.98154
 2026-01-15 00:42:38.088 |   26.21469
 2026-01-15 00:42:33.663 | 119.512634
 2026-01-15 00:42:28.082 |   1.041382
 2026-01-15 00:40:12.685 |  61.168003
 2026-01-15 00:40:09.072 |  21.279213
 2026-01-15 00:40:00.942 | 13.1116085
 2026-01-15 00:39:51.561 |   8.792755
 2026-01-15 00:39:40.188 |  20.138453
 2026-01-15 00:39:33.832 |   39.05127
 2026-01-15 00:39:29.658 |  27.104822
 2026-01-15 00:39:25.489 |  17.400206
 2026-01-15 00:39:15.719 |  50.527905
 2026-01-15 00:39:11.741 |  155.67624
 2026-01-15 00:39:07.874 |  139.51807
 2026-01-15 00:39:03.724 |  118.82951
 2026-01-15 00:38:59.794 |  47.109753
 2026-01-15 00:38:55.867 |    74.8621
 2026-01-15 00:38:52.06  |  1.4803195
 2026-01-15 00:37:21.539 |  67.859344
 2026-01-15 00:37:18.297 |   32.53731
 2026-01-15 00:37:14.947 |  14.848113
 2026-01-15 00:37:07.606 | 108.963585
(50 rows)

deecell_fleet=>
