# Truck: GFR-69 · Fleet: GFR · Granularity: Per minute · Range: 2026-05-04T07:00:00.000Z → 2026-05-06T06:59:59.999Z · Rows: 1478 · Generated: 2026-05-06T14:31:03.875Z
Truck Number,Fleet,PowerMon Serial,Timestamp,Voltage 1 (Chassis),Voltage 2 (Sleeper),Current (A),Power (W),SOC (%),Temperature (°F),Energy Remaining (kWh),Charge (Ah),Signal RSSI,Power Status,Parked,Latitude,Longitude
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T15:24:00.000Z,13.50,12.02,0.00,0.0,100.0,76.7,10.37,19.31,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T15:25:00.000Z,13.50,12.01,-0.00,-0.0,100.0,76.8,10.37,19.31,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T15:26:00.000Z,13.50,12.02,0.03,0.4,100.0,76.8,10.37,19.31,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T15:32:00.000Z,13.51,12.01,0.04,0.6,100.0,76.8,10.37,19.31,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T15:36:00.000Z,13.52,12.01,-0.04,-0.6,100.0,76.8,10.37,19.31,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T15:37:00.000Z,13.52,12.01,0.01,0.2,100.0,76.8,10.37,19.31,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T15:38:00.000Z,13.52,12.02,0.01,0.2,100.0,76.8,10.37,19.31,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T15:39:00.000Z,13.52,12.01,0.08,1.1,100.0,76.8,10.37,19.31,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T15:40:00.000Z,13.52,12.01,0.06,0.8,100.0,76.8,10.37,19.31,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T15:41:00.000Z,13.52,12.02,0.06,0.9,100.0,76.9,10.37,19.31,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T15:42:00.000Z,13.52,12.02,0.04,0.6,100.0,76.9,10.37,19.31,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T15:43:00.000Z,13.52,12.02,0.05,0.6,100.0,76.9,10.37,19.31,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T15:44:00.000Z,13.52,12.02,0.03,0.5,100.0,76.9,10.37,19.31,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T15:45:00.000Z,13.52,12.02,0.07,1.0,100.0,76.9,10.37,19.32,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T15:46:00.000Z,13.52,12.01,0.05,0.6,100.0,76.9,10.37,19.32,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T15:52:00.000Z,13.52,12.01,0.17,2.3,100.0,76.9,10.37,19.33,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T15:57:00.000Z,13.52,12.02,0.19,2.5,100.0,77.0,10.37,19.35,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T15:58:00.000Z,13.51,12.02,0.18,2.4,100.0,77.0,10.37,19.35,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T15:59:00.000Z,13.51,12.01,0.20,2.8,100.0,77.0,10.37,19.35,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T16:00:00.000Z,13.51,12.01,0.19,2.5,100.0,77.0,10.37,19.36,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T16:01:00.000Z,13.51,12.01,0.20,2.7,100.0,77.0,10.37,19.36,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T16:02:00.000Z,13.51,12.01,0.22,3.0,100.0,77.0,10.37,19.36,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T16:03:00.000Z,13.51,12.01,0.17,2.3,100.0,77.0,10.37,19.37,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T16:10:00.000Z,13.51,12.01,0.16,2.1,100.0,77.1,10.37,19.39,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T16:14:00.000Z,13.50,12.02,0.60,8.1,100.0,77.1,10.37,19.41,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T16:15:00.000Z,13.50,12.01,0.53,7.1,100.0,77.1,10.37,19.41,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T16:16:00.000Z,13.49,12.02,0.50,6.8,100.0,77.1,10.37,19.42,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T16:17:00.000Z,13.49,12.01,0.52,7.0,100.0,77.1,10.37,19.43,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T16:18:00.000Z,13.49,12.02,0.56,7.6,100.0,77.1,10.37,19.44,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T16:19:00.000Z,13.49,12.01,0.50,6.7,100.0,77.1,10.37,19.45,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T16:26:00.000Z,13.49,12.02,-0.01,-0.1,100.0,77.1,10.37,19.48,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T16:30:00.000Z,13.50,12.01,-0.03,-0.4,100.0,77.2,10.37,19.48,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T16:37:00.000Z,13.51,12.01,-0.06,-0.8,100.0,77.2,10.37,19.49,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T16:41:00.000Z,13.52,12.01,0.01,0.1,100.0,77.2,10.37,19.49,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T16:42:00.000Z,13.52,12.01,-0.05,-0.6,100.0,77.2,10.37,19.49,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T16:43:00.000Z,13.52,12.01,0.01,0.2,100.0,77.2,10.37,19.49,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T16:44:00.000Z,13.52,12.01,0.05,0.6,100.0,77.2,10.37,19.49,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T16:45:00.000Z,13.52,12.01,0.10,1.3,100.0,77.2,10.37,19.49,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T16:46:00.000Z,13.52,12.01,0.17,2.3,100.0,77.2,10.37,19.49,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T16:47:00.000Z,13.52,12.02,0.19,2.6,100.0,77.2,10.37,19.50,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T16:53:00.000Z,13.52,12.02,0.28,3.8,100.0,77.2,10.37,19.52,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T16:57:00.000Z,13.52,12.01,0.36,4.9,100.0,77.3,10.37,19.55,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T16:58:00.000Z,13.52,12.01,0.40,5.4,100.0,77.3,10.37,19.55,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T16:59:00.000Z,13.51,12.01,0.40,5.4,100.0,77.3,10.37,19.56,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:00:00.000Z,13.51,12.01,0.39,5.2,100.0,77.3,10.37,19.56,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:01:00.000Z,13.51,12.01,0.36,4.8,100.0,77.3,10.37,19.57,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:02:00.000Z,13.51,12.01,0.38,5.2,100.0,77.3,10.37,19.57,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:03:00.000Z,13.51,12.01,0.38,5.2,100.0,77.3,10.37,19.58,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:04:00.000Z,13.51,12.01,0.40,5.4,100.0,77.3,10.37,19.59,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:05:00.000Z,13.51,12.01,0.35,4.7,100.0,77.3,10.37,19.59,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:06:00.000Z,13.51,12.01,0.39,5.3,100.0,77.3,10.37,19.60,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:07:00.000Z,13.51,12.01,0.35,4.7,100.0,77.3,10.37,19.61,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:08:00.000Z,13.50,12.01,0.37,5.1,100.0,77.3,10.37,19.61,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:09:00.000Z,13.50,12.01,0.39,5.3,100.0,77.3,10.37,19.62,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:10:00.000Z,13.50,12.01,0.34,4.5,100.0,77.3,10.37,19.62,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:11:00.000Z,13.50,12.01,0.37,5.0,100.0,77.3,10.37,19.63,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:12:00.000Z,13.50,12.01,0.37,5.0,100.0,77.3,10.37,19.64,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:13:00.000Z,13.50,12.01,0.33,4.4,100.0,77.3,10.37,19.64,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:14:00.000Z,13.50,12.01,0.33,4.4,100.0,77.3,10.37,19.65,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:15:00.000Z,13.50,12.01,0.33,4.5,100.0,77.3,10.37,19.65,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:16:00.000Z,13.50,12.01,0.32,4.3,100.0,77.3,10.37,19.66,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:17:00.000Z,13.50,12.01,0.36,4.8,100.0,77.3,10.37,19.66,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:18:00.000Z,13.50,12.01,0.36,4.8,100.0,77.3,10.37,19.67,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:19:00.000Z,13.49,12.01,0.40,5.4,100.0,77.3,10.37,19.68,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:20:00.000Z,13.49,12.01,0.43,5.8,100.0,77.4,10.37,19.68,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:21:00.000Z,13.49,12.01,0.39,5.3,100.0,77.4,10.37,19.69,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:22:00.000Z,13.49,12.01,0.39,5.2,100.0,77.4,10.37,19.70,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:23:00.000Z,13.49,12.01,0.38,5.1,100.0,77.4,10.37,19.70,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:24:00.000Z,13.49,12.01,0.37,4.9,100.0,77.4,10.37,19.71,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:25:00.000Z,13.49,12.01,0.28,3.8,100.0,77.4,10.37,19.71,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:26:00.000Z,13.49,12.01,0.23,3.1,100.0,77.4,10.37,19.72,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:27:00.000Z,13.49,12.01,0.22,3.0,100.0,77.4,10.37,19.72,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:28:00.000Z,13.49,12.01,0.19,2.6,100.0,77.4,10.37,19.72,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:29:00.000Z,13.49,12.01,0.20,2.8,100.0,77.4,10.37,19.73,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:30:00.000Z,13.49,12.01,0.16,2.2,100.0,77.4,10.37,19.73,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:37:00.000Z,13.50,12.01,0.13,1.8,100.0,77.4,10.37,19.74,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:41:00.000Z,13.50,12.01,0.12,1.6,100.0,77.4,10.37,19.75,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:42:00.000Z,13.50,12.01,0.10,1.4,100.0,77.4,10.37,19.75,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:43:00.000Z,13.50,12.01,0.16,2.1,100.0,77.4,10.37,19.76,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:50:00.000Z,13.51,12.01,0.10,1.4,100.0,77.4,10.37,19.77,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:54:00.000Z,13.51,12.01,0.17,2.2,100.0,77.4,10.37,19.78,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:55:00.000Z,13.51,12.01,0.13,1.8,100.0,77.4,10.37,19.79,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:56:00.000Z,13.51,12.01,0.15,2.0,100.0,77.4,10.37,19.79,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:57:00.000Z,13.52,12.01,0.13,1.7,100.0,77.4,10.37,19.79,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:58:00.000Z,13.52,12.01,0.18,2.4,100.0,77.4,10.37,19.79,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T17:59:00.000Z,13.52,12.01,0.19,2.6,100.0,77.4,10.37,19.80,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T18:00:00.000Z,13.52,12.01,0.16,2.2,100.0,77.4,10.37,19.80,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T18:01:00.000Z,13.52,12.01,0.19,2.5,100.0,77.4,10.37,19.80,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T18:02:00.000Z,13.52,12.01,0.15,2.0,100.0,77.4,10.37,19.81,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T18:03:00.000Z,13.52,12.01,0.26,3.5,100.0,77.4,10.37,19.81,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T18:04:00.000Z,13.52,12.01,0.27,3.6,100.0,77.4,10.37,19.81,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T18:05:00.000Z,13.52,12.01,0.30,4.1,100.0,77.4,10.37,19.82,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T18:12:00.000Z,13.52,12.01,0.14,1.9,100.0,77.4,10.37,19.84,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T18:16:00.000Z,13.52,12.01,0.27,3.7,100.0,77.4,10.37,19.86,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T18:17:00.000Z,13.52,12.01,0.23,3.1,100.0,77.5,10.37,19.86,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T18:18:00.000Z,13.52,12.01,0.26,3.5,100.0,77.5,10.37,19.86,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T18:19:00.000Z,13.52,12.01,0.26,3.6,100.0,77.5,10.37,19.87,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T18:20:00.000Z,13.52,12.01,0.27,3.7,100.0,77.5,10.37,19.87,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T18:21:00.000Z,13.52,12.01,0.26,3.5,100.0,77.5,10.37,19.88,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T18:22:00.000Z,13.52,12.01,0.27,3.7,100.0,77.5,10.37,19.88,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T18:23:00.000Z,13.52,12.01,0.28,3.8,100.0,77.5,10.37,19.89,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T18:24:00.000Z,13.52,12.01,0.28,3.8,100.0,77.5,10.37,19.89,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T18:25:00.000Z,13.52,12.01,0.26,3.6,100.0,77.5,10.37,19.90,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T18:26:00.000Z,13.52,12.01,0.23,3.1,100.0,77.5,10.37,19.90,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T18:27:00.000Z,13.52,12.01,0.30,4.0,100.0,77.5,10.37,19.90,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T18:33:00.000Z,13.52,12.01,0.25,3.4,100.0,77.5,10.37,19.93,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T18:34:00.000Z,13.52,12.01,0.29,3.9,100.0,77.5,10.37,19.94,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T18:35:00.000Z,13.52,12.01,0.28,3.7,100.0,77.5,10.37,19.94,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T18:36:00.000Z,13.52,12.01,0.27,3.6,100.0,77.5,10.37,19.94,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T18:37:00.000Z,13.51,12.01,0.32,4.4,100.0,77.5,10.37,19.95,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T18:43:00.000Z,13.51,12.01,0.23,3.2,100.0,77.5,10.37,19.98,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T18:48:00.000Z,13.51,12.01,0.35,4.7,100.0,77.5,10.37,20.00,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T18:49:00.000Z,13.51,12.01,0.33,4.5,100.0,77.5,10.37,20.01,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T18:50:00.000Z,13.51,12.01,0.31,4.2,100.0,77.5,10.37,20.02,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T18:51:00.000Z,13.51,12.01,0.31,4.2,100.0,77.5,10.37,20.02,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T18:52:00.000Z,13.50,12.01,0.36,4.8,100.0,77.5,10.37,20.03,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T18:53:00.000Z,13.50,12.01,0.29,4.0,100.0,77.5,10.37,20.03,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T18:54:00.000Z,13.50,12.01,0.28,3.8,100.0,77.6,10.37,20.04,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T18:55:00.000Z,13.50,12.01,0.29,3.9,100.0,77.6,10.37,20.04,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T18:56:00.000Z,13.50,12.01,0.28,3.8,100.0,77.6,10.37,20.05,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T18:57:00.000Z,13.50,12.01,0.32,4.3,100.0,77.6,10.37,20.05,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T18:58:00.000Z,13.50,12.01,0.28,3.8,100.0,77.6,10.37,20.06,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T18:59:00.000Z,13.50,12.01,0.31,4.2,100.0,77.6,10.37,20.06,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:00:00.000Z,13.50,12.01,0.32,4.4,100.0,77.6,10.37,20.07,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:01:00.000Z,13.50,12.01,0.30,4.0,100.0,77.6,10.37,20.07,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:02:00.000Z,13.50,12.01,0.33,4.5,100.0,77.6,10.37,20.08,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:03:00.000Z,13.50,12.01,0.31,4.1,100.0,77.6,10.37,20.08,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:04:00.000Z,13.50,12.01,0.33,4.5,100.0,77.6,10.37,20.09,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:11:00.000Z,13.49,12.01,0.38,5.1,100.0,77.6,10.37,20.12,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:15:00.000Z,13.49,12.01,0.23,3.2,100.0,77.6,10.37,20.15,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:16:00.000Z,13.49,12.01,0.25,3.3,100.0,77.5,10.37,20.15,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:17:00.000Z,13.49,12.01,0.18,2.4,100.0,77.5,10.37,20.15,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:18:00.000Z,13.49,12.01,0.19,2.5,100.0,77.5,10.37,20.16,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:19:00.000Z,13.49,12.01,0.15,2.1,100.0,77.5,10.37,20.16,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:20:00.000Z,13.49,12.01,0.17,2.3,100.0,77.5,10.37,20.16,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:21:00.000Z,13.49,12.01,0.18,2.4,100.0,77.5,10.37,20.16,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:22:00.000Z,13.49,12.01,0.18,2.4,100.0,77.5,10.37,20.17,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:23:00.000Z,13.49,12.01,0.17,2.4,100.0,77.5,10.37,20.17,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:24:00.000Z,13.49,12.01,0.20,2.7,100.0,77.5,10.37,20.17,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:25:00.000Z,13.49,12.01,0.17,2.3,100.0,77.5,10.37,20.18,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:26:00.000Z,13.50,12.01,0.18,2.5,100.0,77.5,10.37,20.18,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:27:00.000Z,13.50,12.01,0.19,2.6,100.0,77.5,10.37,20.18,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:28:00.000Z,13.50,12.01,0.20,2.7,100.0,77.5,10.37,20.18,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:29:00.000Z,13.50,12.01,0.21,2.8,100.0,77.5,10.37,20.19,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:30:00.000Z,13.50,12.01,0.19,2.6,100.0,77.5,10.37,20.19,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:31:00.000Z,13.50,12.01,0.18,2.5,100.0,77.5,10.37,20.19,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:32:00.000Z,13.50,12.01,0.16,2.2,100.0,77.5,10.37,20.20,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:33:00.000Z,13.50,12.01,0.13,1.8,100.0,77.5,10.37,20.20,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:34:00.000Z,13.50,12.01,0.11,1.5,100.0,77.5,10.37,20.20,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:35:00.000Z,13.50,12.01,0.14,1.8,100.0,77.5,10.37,20.21,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:36:00.000Z,13.50,12.01,0.13,1.7,100.0,77.5,10.37,20.21,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:37:00.000Z,13.50,12.01,0.14,1.9,100.0,77.5,10.37,20.21,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:38:00.000Z,13.50,12.01,0.12,1.6,100.0,77.5,10.37,20.21,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:39:00.000Z,13.50,12.01,0.09,1.2,100.0,77.5,10.37,20.21,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:40:00.000Z,13.50,12.01,0.10,1.4,100.0,77.5,10.37,20.22,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:41:00.000Z,13.50,12.01,0.09,1.2,100.0,77.5,10.37,20.22,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:42:00.000Z,13.51,12.01,0.11,1.4,100.0,77.5,10.37,20.22,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:43:00.000Z,13.51,12.01,0.10,1.4,100.0,77.5,10.37,20.22,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:44:00.000Z,13.51,12.01,0.13,1.7,100.0,77.5,10.37,20.22,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:45:00.000Z,13.51,12.01,0.13,1.7,100.0,77.5,10.37,20.23,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-05T19:52:00.000Z,13.52,12.01,0.14,1.9,100.0,77.5,10.37,20.24,-32768,OFF,Yes,,
