       recorded_at       | pulse_count | frequency  | voltage 
 2026-01-15 00:39:40.188 |      361808 |  20.138453 |        
 2026-01-15 00:39:51.561 |      361908 |   8.792755 |        
 2026-01-15 00:40:00.942 |      362031 | 13.1116085 |        
 2026-01-15 00:40:09.072 |      362204 |  21.279213 |        
 2026-01-15 00:40:12.685 |      362425 |  61.168003 |        
 2026-01-15 00:42:28.082 |      362566 |   1.041382 |        
 2026-01-15 00:42:33.663 |      363233 | 119.512634 |        
 2026-01-15 00:42:38.088 |      363349 |   26.21469 |        
 2026-01-15 00:42:41.987 |      363848 |  127.98154 |        
 2026-01-15 00:42:45.93  |      363969 |  30.687294 |        
 2026-01-15 00:42:50.76  |      364170 |  41.614906 |        
 2026-01-15 00:42:56.093 |      364385 |   40.31502 |        
 2026-01-15 00:43:00.213 |      364490 |  25.485437 |        
 2026-01-15 00:43:35.223 |      364604 |  3.2562125 |        
(115 rows)
